millis,x_1,y_1,z_1,x_2,y_2,z_2
98594,10.56,2.45,1.37,3.23,-8.69,3.44
98634,7.65,-1.88,4.92,3.38,-8.70,3.78
98669,6.27,-4.79,7.96,3.48,-8.71,3.33
98704,12.29,1.43,2.04,3.28,-8.67,3.62
98739,10.59,1.98,1.95,3.38,-8.75,3.51
98779,7.94,-2.13,4.91,3.26,-8.71,3.94
98814,8.21,-2.32,5.19,3.42,-8.69,3.61
98849,10.45,0.63,2.92,3.35,-8.78,3.65
98885,9.44,-0.40,3.90,3.19,-8.66,3.63
98924,9.26,-0.94,4.84,3.41,-8.70,3.66
98959,8.89,-0.25,4.05,3.29,-8.79,3.74
98994,11.33,-0.77,5.24,3.47,-8.73,3.47
99034,8.15,-1.62,4.60,3.32,-8.68,3.65
99069,8.70,-0.37,4.42,3.46,-8.60,3.68
99104,17.11,-2.11,13.55,3.37,-8.60,3.09
99139,9.38,-0.54,4.72,3.20,-8.55,3.37
99179,8.90,-1.20,5.70,3.42,-8.68,3.39
99214,8.89,-0.57,4.45,3.50,-8.70,3.56
99249,9.32,-0.66,4.95,3.37,-8.76,3.41
99286,9.81,-0.68,5.41,3.23,-8.73,3.77
99324,9.48,-0.59,5.18,3.32,-8.72,3.30
99359,8.42,-0.43,3.92,3.36,-8.72,3.21
99394,9.15,-0.52,4.64,3.36,-8.55,3.83
99434,9.46,-0.50,5.13,3.30,-8.65,3.69
99469,9.11,-0.49,4.66,3.44,-8.72,3.79
99504,9.09,-0.55,4.69,3.28,-8.74,3.56
99539,9.02,-0.56,4.67,3.44,-8.63,3.48
99579,9.18,-0.57,4.84,3.39,-8.73,3.72
99614,9.17,-0.46,4.87,3.47,-8.70,3.51
99649,9.12,-0.49,4.74,3.37,-8.72,3.67
99689,9.13,-0.57,4.55,3.31,-8.58,3.22
99724,9.12,-0.51,4.77,3.35,-8.68,3.61
99759,9.14,-0.46,4.48,3.46,-8.65,3.57
99794,9.25,-0.50,4.43,3.35,-8.66,3.52
99834,9.06,-0.50,4.83,3.33,-8.81,3.47
99869,9.05,-0.36,4.78,3.57,-8.58,3.49
99904,9.17,-0.54,4.56,3.25,-8.65,3.65
99944,9.10,-0.47,4.51,3.33,-8.59,3.64
99979,9.32,-0.48,4.82,3.38,-8.71,3.62
100014,9.14,-0.52,4.66,3.56,-8.74,3.56
100049,9.14,-0.41,4.74,3.38,-8.78,3.24
100089,9.08,-0.44,4.73,3.37,-8.69,3.57
100124,9.18,-0.47,4.82,3.64,-8.73,3.61
100159,9.16,-0.56,4.75,3.41,-8.62,3.48
100199,9.14,-0.39,4.71,3.38,-8.69,3.55
100234,9.13,-0.51,4.48,3.29,-8.69,3.55
100269,9.16,-0.52,4.56,3.31,-8.61,3.75
100304,9.00,-0.39,4.82,3.25,-8.73,3.37
100344,9.12,-0.51,4.37,3.30,-8.75,3.47
100379,9.15,-0.53,4.72,3.49,-8.68,3.36
100414,8.95,-0.48,4.76,3.40,-8.72,3.30
100454,9.25,-0.51,4.91,3.37,-8.67,3.57
100489,9.18,-0.46,4.87,3.42,-8.67,3.63
100524,9.25,-0.43,4.55,3.29,-8.68,3.69
100559,9.21,-0.57,4.71,3.38,-8.76,3.42
100599,9.04,-0.57,4.47,3.40,-8.74,3.52
100634,9.14,-0.52,4.63,3.40,-8.73,3.33
100669,9.20,-0.59,4.79,3.37,-8.65,3.45
100709,9.16,-0.48,4.74,0.77,-10.16,3.74
100744,9.34,-0.46,4.72,4.68,-2.46,1.82
100780,9.07,-0.55,4.54,4.24,-9.21,3.32
100814,9.12,-0.58,4.77,5.10,-7.68,4.02
100854,9.45,-0.21,4.22,2.89,-9.49,3.22
100889,8.94,-0.70,4.88,3.83,-8.30,3.50
100924,9.38,-0.32,4.50,2.50,-8.84,3.22
100964,9.15,-0.50,4.61,3.29,-9.14,2.95
100999,9.17,-0.42,4.84,5.67,-7.97,3.42
101035,9.18,-0.49,4.75,6.06,-8.13,3.88
101069,9.23,-0.25,4.32,5.37,-7.42,3.17
101109,9.30,-0.51,4.58,2.74,-9.27,2.44
101144,9.33,-0.25,4.82,1.39,-9.24,2.17
101179,9.08,-0.60,4.66,2.23,-9.66,3.18
101214,8.95,-0.82,4.99,5.43,-7.49,3.88
101254,9.29,-0.49,4.80,6.68,-7.71,4.39
101289,9.08,-0.63,4.96,4.51,-8.36,3.50
101324,9.06,-0.53,4.75,1.89,-9.05,2.00
101364,9.19,-0.45,4.71,1.99,-9.08,2.95
